customer_Id,DOB,Gender,city_code
268408,2/1/1970,M,4
269696,7/1/1970,F,8
268159,8/1/1970,F,8
270181,10/1/1970,F,2
268073,11/1/1970,M,1
273216,15-01-1970,F,5
266929,15-01-1970,M,8
275152,16-01-1970,M,4
275034,18-01-1970,F,4
273966,21-01-1970,M,8
270829,22-01-1970,F,8
266997,23-01-1970,M,9
272455,25-01-1970,M,7
274593,26-01-1970,M,10
273391,29-01-1970,F,2
267657,29-01-1970,F,7
271344,29-01-1970,F,5
268275,1/2/1970,F,7
274630,1/2/1970,M,4
273541,1/2/1970,M,4
270324,1/2/1970,F,1
273613,6/2/1970,M,1
271608,9/2/1970,F,4
269008,13-02-1970,F,6
267199,14-02-1970,,2
267916,17-02-1970,F,8
267609,18-02-1970,M,2
270602,18-02-1970,M,5
272883,19-02-1970,M,5
272359,19-02-1970,M,4
272603,19-02-1970,F,9
272028,20-02-1970,F,1
274717,21-02-1970,M,7
273316,21-02-1970,M,2
271262,21-02-1970,M,2
267166,22-02-1970,F,4
270827,4/3/1970,F,10
273423,4/3/1970,F,4
271692,7/3/1970,M,5
274592,8/3/1970,M,5
271777,8/3/1970,M,8
266895,12/3/1970,M,4
274360,14-03-1970,M,5
274602,15-03-1970,F,3
266799,16-03-1970,F,5
272821,17-03-1970,F,3
267379,21-03-1970,F,2
273016,22-03-1970,M,3
273106,23-03-1970,F,2
271935,26-03-1970,M,5
273109,27-03-1970,F,5
270986,27-03-1970,M,10
266969,28-03-1970,M,2
273871,29-03-1970,M,7
273811,29-03-1970,M,8
271312,1/4/1970,F,5
274834,2/4/1970,M,4
271991,2/4/1970,M,5
269765,4/4/1970,F,9
272071,6/4/1970,F,6
272645,14-04-1970,F,2
270780,18-04-1970,F,3
272736,19-04-1970,F,1
272627,19-04-1970,F,3
272795,22-04-1970,M,1
270450,24-04-1970,F,3
266862,24-04-1970,F,5
274535,26-04-1970,F,4
269640,29-04-1970,M,7
268290,29-04-1970,M,7
275250,2/5/1970,F,1
272555,3/5/1970,M,1
268732,6/5/1970,M,2
271478,6/5/1970,F,1
267529,9/5/1970,M,4
271066,10/5/1970,M,8
267819,10/5/1970,F,9
269271,12/5/1970,F,5
273150,14-05-1970,F,10
267386,15-05-1970,M,7
274350,16-05-1970,F,3
273645,22-05-1970,F,4
270911,22-05-1970,M,2
268424,23-05-1970,F,8
271045,23-05-1970,F,7
268627,1/6/1970,M,9
270430,1/6/1970,M,7
271626,2/6/1970,,6
272301,3/6/1970,F,8
269531,5/6/1970,M,2
274849,9/6/1970,M,4
271031,9/6/1970,F,2
272018,9/6/1970,F,6
272186,9/6/1970,M,10
270047,10/6/1970,M,1
274128,10/6/1970,M,10
268313,11/6/1970,F,8
270933,15-06-1970,M,8
271072,16-06-1970,M,6
271465,17-06-1970,F,9
274770,17-06-1970,F,2
270676,19-06-1970,M,5
273529,19-06-1970,F,1
273162,19-06-1970,M,8
268533,23-06-1970,F,6
275246,25-06-1970,M,3
267066,25-06-1970,F,10
269345,26-06-1970,F,10
275116,29-06-1970,M,5
273840,1/7/1970,M,3
268792,4/7/1970,M,4
274892,5/7/1970,F,8
273708,9/7/1970,F,7
272495,10/7/1970,M,8
272926,11/7/1970,F,4
268447,14-07-1970,M,
273442,16-07-1970,M,4
267081,17-07-1970,F,3
267042,23-07-1970,M,8
273151,24-07-1970,F,4
274169,24-07-1970,F,1
270130,26-07-1970,M,9
274546,26-07-1970,M,3
273575,27-07-1970,M,1
267280,2/8/1970,M,5
267304,3/8/1970,M,4
274445,6/8/1970,M,8
270678,6/8/1970,F,4
270328,7/8/1970,F,4
269449,9/8/1970,M,6
275014,12/8/1970,M,4
269825,21-08-1970,M,4
271750,23-08-1970,F,6
267826,24-08-1970,F,7
272501,26-08-1970,F,1
273587,29-08-1970,F,1
272721,1/9/1970,M,8
275134,2/9/1970,F,8
267713,3/9/1970,M,1
274029,3/9/1970,F,1
272261,3/9/1970,F,9
274628,4/9/1970,M,5
273776,6/9/1970,F,2
274743,6/9/1970,M,4
270051,7/9/1970,M,8
274455,8/9/1970,F,10
272088,8/9/1970,M,5
273583,8/9/1970,M,5
267490,9/9/1970,F,4
268709,9/9/1970,F,
267536,10/9/1970,M,3
271286,10/9/1970,M,1
273517,11/9/1970,M,5
268365,12/9/1970,M,5
266959,13-09-1970,F,1
272408,13-09-1970,M,6
271177,14-09-1970,F,5
274180,14-09-1970,M,6
267613,15-09-1970,M,3
270748,17-09-1970,M,5
274682,19-09-1970,M,10
266822,20-09-1970,F,9
272017,22-09-1970,M,8
267424,22-09-1970,M,7
272402,23-09-1970,F,10
274194,24-09-1970,M,5
274232,26-09-1970,F,5
272777,29-09-1970,M,7
273372,29-09-1970,F,1
273398,1/10/1970,F,1
267707,2/10/1970,F,2
273170,3/10/1970,F,8
271924,3/10/1970,M,5
270446,5/10/1970,M,10
273353,7/10/1970,F,4
